Participant,LookedAt,Time
9,Turned Page Start,32
9,Instruction 3,33
9,Lego,34
9,Instruction 3,36
9,Lego,37
9,Instruction 3,38
9,Instruction 4,39
9,Instruction 3,40
9,Building / Hand,42
9,Lego,43
9,Instruction 3,46
9,Building / Hand,47
9,Lego,48
9,Building / Hand,48
9,Instruction 3,50
9,Instruction 4,51
9,Lego,52
9,Instruction 3,57
9,Instruction 4,58
9,Lego,61
9,Instruction 4,63
9,Lego,64
9,Instruction 4,66
9,Lego,67
9,Instruction 4,68
9,Building / Hand,69
9,Instruction 4,70
9,Building / Hand,71
9,Instruction 4,72
9,Building / Hand,73
9,Instruction 4,74
9,Building / Hand,76
9,Instruction 4,82
9,Building / Hand,83
9,Instruction 3,89
9,Turned Page End,90
10,Turned Page Start,20
10,Instruction 3,20
10,Lego,24
10,Instruction 3,30
10,Lego,31
10,Instruction 3,35
10,Building / Hand,36
10,Lego,38
10,Instruction 3,40
10,Building / Hand,41
10,Lego,42
10,Building / Hand,46
10,Instruction 4,47
10,Building / Hand,49
10,Lego,50
10,Instruction 4,51
10,Building / Hand,51
10,Instruction 4,53
10,Lego,55
10,Instruction 4,57
10,Lego,58
10,Instruction 4,61
10,Lego,61
10,Building / Hand,62
10,Instruction 4,68
10,Lego,69
10,Building / Hand,70
10,Instruction 4,71
10,Building / Hand,72
10,Instruction 4,74
10,Turned Page End,75
11,Turned Page Start,10
11,Instruction 3,20
11,Building / Hand,23
11,Lego,24
11,Instruction 3,25
11,Lego,25
11,Instruction 3,26
11,Lego,27
11,Building / Hand,29
11,Instruction 3,30
11,Building / Hand,31
11,Lego,33
11,Building / Hand,34
11,Instruction 3,38
11,Lego,39
11,Instruction 3,43
11,Instruction 4,44
11,Instruction 3,45
11,Building / Hand,45
11,Instruction 3,46
11,Instruction 4,47
11,Lego,48
11,Instruction 3,54
11,Instruction 4,55
11,Instruction 3,56
11,Lego,57
11,Building / Hand,69
11,Instruction 3,71
11,Instruction 4,71
11,Building / Hand,75
11,Instruction 4,76
11,Lego,77
11,Building / Hand,78
11,Instruction 4,78
11,Lego,79
11,Instruction 4,80
11,Building / Hand,81
11,Instruction 4,81
11,Building / Hand,83
11,Instruction 4,85
11,Lego,86
11,Building / Hand,88
11,Instruction 4,89
11,Building / Hand,90
11,Lego,90
11,Instruction 3,91
11,Turned Page,92
11,Instruction 1,92
11,Instruction 3,96
11,Instruction 4,96
11,Lego,97
11,Instruction 3,98
11,Building / Hand,99
11,Lego,100
11,Instruction 3,101
11,Building / Hand,102
11,Instruction 3,102
11,Building / Hand,103
11,Instruction 3,104
11,Lego,105
11,Building / Hand,109
11,Instruction 3,111
11,Building / Hand,112
11,Instruction 3,113
11,Instruction 4,114
11,Instruction 3,114
11,Turned Page End,115
12,Turned Page Start,29
12,Instruction 3,29
12,Building / Hand,30
12,Instruction 4,31
12,Instruction 3,31
12,Instruction 4,32
12,Lego,33
12,Instruction 3,34
12,Lego,35
12,Instruction 4,35
12,Instruction 3,35
12,Lego,36
12,Instruction 3,41
12,Building / Hand,42
12,Lego,43
12,Instruction 3,45
12,Instruction 4,46
12,Instruction 3,46
12,Lego,47
12,Instruction 4,48
12,Instruction 3,50
12,Building / Hand,51
12,Instruction 3,51
12,Instruction 4,52
12,Lego,52
12,Instruction 4,53
12,Building / Hand,55
12,Instruction 4,63
12,Lego,64
12,Instruction 3,67
12,Instruction 4,67
12,Building / Hand,68
12,Instruction 4,69
12,Lego,70
12,Instruction 4,71
12,Building / Hand,73
12,Instruction 4,74
12,Building / Hand,75
12,Instruction 4,80
12,Lego,81
12,Building / Hand,82
12,Lego,85
12,Building / Hand,90
12,Lego,93
12,Building / Hand,95
12,Instruction 3,104
12,Instruction 4,104
12,Building / Hand,105
12,Lego,106
12,Instruction 4,106
12,Lego,107
12,Building / Hand,107
12,Lego,109
12,Building / Hand,116
12,Instruction 4,117
12,Lego,118
12,Building / Hand,120
12,Instruction 3,121
12,Instruction 4,121
12,Turned Page End,128
13,Turned Page Start,29
13,Instruction 5,30
13,Lego,33
13,Building / Hand,35
13,Lego,35
13,Instruction 5,37
13,Lego,39
13,Instruction 5,40
13,Lego,45
13,Instruction 5,47
13,Instruction 6,51
13,Instruction 5,51
13,Turned Page Backwards,52
13,Instruction 1,52
13,Instruction 2,55
13,Turned Page Forwards,55
13,Instruction 3,56
13,Building / Hand,59
