Participant,RT,NumberOfPieces,Box,Strategy,
1,133,12,nobox,,
1,113,16,nobox,edges,
1,250,20,box,edges,
1,285,24,box,edges,
2,117,12,box,,
2,146,16,nobox,edges,
2,252,20,nobox,edges,
2,448,24,box,edges,
3,108,12,nobox,,
3,139,16,nobox,edges,
3,210,20,box,mixed,
3,210,24,box,edges,
5,60,12,box,,
5,77,16,box,edges,
5,212,20,nobox,edges,
5,328,24,nobox,edges,
6,73,12,nobox,,
6,80,16,box,edges,
6,103,20,box,edges,
6,228,24,nobox,edges,
7,104,12,nobox,,
7,232,16,nobox,mixed,
7,188,20,box,mixed,
7,208,24,box,mixed,
8,217,12,nobox,,
8,197,16,nobox,edges,
8,214,20,box,edges,
8,315,24,box,corners,
9,131,12,nobox,,
9,121,16,nobox,mixed,
9,202,20,box,edges,
9,213,24,box,edges,
10,100,12,box,,
10,76,16,nobox,edges,
10,145,20,nobox,edges,
10,176,24,box,edges,
11,75,12,box,,
11,75,16,box,edges,
11,180,20,nobox,edges,
11,281,24,nobox,edges,
12,107,12,nobox,,
12,259,16,box,mixed,
12,268,20,box,mixed,
12,301,24,nobox,mixed,
13,75,12,nobox,,
13,124,16,nobox,corners,
13,127,20,box,corners,
13,178,24,box,corners,
14,58,12,box,,
14,100,16,nobox,mixed,
14,281,20,nobox,edges,
14,213,24,box,edges,
15,57,12,box,,
15,116,16,box,mixed,
15,115,20,nobox,mixed,
15,275,24,nobox,mixed,
16,68,12,nobox,,
16,61,16,box,edges,
16,92,20,box,mixed,
16,185,24,nobox,corners,
17,76,12,nobox,,
17,110,16,nobox,edges,
17,162,20,box,corners,
17,241,24,box,corners,
18,92,12,box,,
18,136,16,nobox,mixed,
18,212,20,nobox,edges,
18,280,24,box,edges,
19,63,12,box,,
19,73,16,box,edges,
19,165,20,nobox,edges,
19,218,24,nobox,edges,
20,69,12,nobox,,
20,99,16,box,mixed,
20,205,20,box,edges,
20,214,24,nobox,edges,
21,145,12,nobox,,
21,115,16,nobox,,not clear enough in first 30s for strategy
21,187,20,box,mixed,
21,370,24,box,mixed,
23,71,12,box,,
23,80,16,box,mixed,
23,135,20,nobox,corners,
23,348,24,nobox,edges,
24,110,12,nobox,,
24,115,16,box,edges,
24,168,20,box,mixed,
24,361,24,nobox,edges,
25,61,12,nobox,,
25,58,16,nobox,edges,
25,90,20,box,mixed,
25,112,24,box,edges,
26,54,12,box,,
26,210,16,nobox,mixed,
26,281,20,nobox,edges,
26,242,24,box,mixed,
27,79,12,box,,
27,161,16,box,edges,
