Participant,colour,shape,conjunction
1,14,23,14
2,7,14,10
3,6,14,8
4,6,11,10
5,13,11,8
6,8,14,9
7,11,15,20
8,10,24,17
9,11,12,10
10,10,8,10
11,15,15,15
12,15,21,17
13,7,19,15
14,14,11,14
15,13,9,7
16,2,14,12
17,9,9,13
18,9,13,11
19,10,15,12
20,7,13,10
21,11,12,11
22,16,43,25
23,12,16,13
24,6,12,6
25,9,12,12
26,12,14,21
27,18,14,11
28,9,14,13
29,12,15,13
30,9,85,25
31,11,11,9
32,8,10,15
33,10,10,10
34,12,17,13
35,9,13,16
36,10,16,11
37,16,26,29
38,7,7,8
39,9,15,8
40,11,17,12
41,7,8,9
42,7,15,8
43,11,14,13
44,10,11,10
45,7,9,7
46,7,6,7
47,7,12,14
48,10,11,10
49,7,12,10
50,9,15,12
51,9,15,12
